	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED]	tr|A0A0P0EK16|A0A0P0EK16_AZOBR	PIV_MORBORecName: Full=Pilin gene-inverting protein; AltName: Full=PIVML	186	3	8.51003E-15	47.39	6	F:GO:0000150; F:GO:0003677; F:GO:0004803; P:GO:0006310; P:GO:0006313; P:GO:0032196	F:recombinase activity; F:DNA binding; F:transposase activity; P:DNA recombination; P:transposition, DNA-mediated; P:transposition					
true	[NO-BLAST]	tr|A0A0P0ETN7|A0A0P0ETN7_AZOBR	---NA---	305											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F0A7|A0A0P0F0A7_AZOBR	ferric reductase	446	20	0.0	87.66	4	F:GO:0008860; C:GO:0016021; F:GO:0046872; P:GO:0055114	F:ferredoxin-NAD+ reductase activity; C:integral component of membrane; F:metal ion binding; P:oxidation-reduction process	EC:1.18.1; EC:1.18.1.3	Acting on iron-sulfur proteins as donors; Ferredoxin--NAD(+) reductase			
true	[NO-BLAST]	tr|A0A0N7I8S7|A0A0N7I8S7_AZOBR	---NA---	435											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EFT8|A0A0P0EFT8_AZOBR	QSEB_ECOLIRecName: Full=Transcriptional regulatory protein QseB	219	20	3.03219E-51	62.4	9	P:GO:0000160; F:GO:0000976; F:GO:0001216; F:GO:0001217; C:GO:0005829; C:GO:0032993; F:GO:0042802; P:GO:0045893; P:GO:0046688	P:phosphorelay signal transduction system; F:transcription regulatory region sequence-specific DNA binding; F:DNA-binding transcription activator activity; F:DNA-binding transcription repressor activity; C:cytosol; C:protein-DNA complex; F:identical protein binding; P:positive regulation of transcription, DNA-templated; P:response to copper ion					
true	[NO-BLAST]	tr|A0A0P0F096|A0A0P0F096_AZOBR	---NA---	937											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F595|A0A0P0F595_AZOBR	GNAT family N-acetyltransferase	163	20	5.13596E-115	92.08	1	F:GO:0004145	F:diamine N-acetyltransferase activity	EC:2.3.1.5; EC:2.3.1.57	Arylamine N-acetyltransferase; Diamine N-acetyltransferase			
true	[BLASTED, MAPPED]	tr|A0A0P0F8K8|A0A0P0F8K8_AZOBR	LOLA_METCARecName: Full=Outer-membrane lipoprotein carrier protein; Flags: Precursor	220	9	3.9751E-11	46.95	5	F:GO:0008565; P:GO:0015031; C:GO:0042597; P:GO:0042953; F:GO:0042954	F:obsolete protein transporter activity; P:protein transport; C:periplasmic space; P:lipoprotein transport; F:obsolete lipoprotein transporter activity					
true	[BLASTED]	tr|A0A0P0F5U2|A0A0P0F5U2_AZOBR	extracellular solute-binding protein	448	20	0.0	94.57								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EAI2|A0A0P0EAI2_AZOBR	peroxiredoxin	160	20	8.21894E-112	92.55	6	F:GO:0004601; C:GO:0005623; P:GO:0045454; F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxidase activity; C:obsolete cell; P:cell redox homeostasis; F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15; EC:1.11.1.7	Peroxiredoxin; Peroxidase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0E8S9|A0A0P0E8S9_AZOBR	type B chloramphenicol O-acetyltransferase	211	20	1.16658E-153	93.02	1	F:GO:0008811	F:chloramphenicol O-acetyltransferase activity	EC:2.3.1.28	Chloramphenicol O-acetyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EC26|A0A0P0EC26_AZOBR	KUP1_MAGSARecName: Full=Probable potassium transport system protein kup 1	614	20	0.0	71.26	3	P:GO:0006813; F:GO:0015079; C:GO:0016020	P:potassium ion transport; F:potassium ion transmembrane transporter activity; C:membrane					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EUN6|A0A0P0EUN6_AZOBR	MNTA_BACSURecName: Full=Manganese-binding lipoprotein MntA; Flags: Precursor	318	20	1.92021E-79	51.33	3	C:GO:0016020; P:GO:0030001; C:GO:0044464	C:membrane; P:metal ion transport; C:obsolete cell part					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EZK5|A0A0P0EZK5_AZOBR	flagellar basal body rod protein FlgB	134	20	1.37387E-94	91.24	2	C:GO:0030694; P:GO:0071973	C:bacterial-type flagellum basal body, rod; P:bacterial-type flagellum-dependent cell motility					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F3R9|A0A0P0F3R9_AZOBR	BPT_MAGSARecName: Full=Aspartate/glutamate leucyltransferase	246	20	1.22288E-72	63.26	2	F:GO:0016746; P:GO:0030163	F:transferase activity, transferring acyl groups; P:protein catabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EMG1|A0A0P0EMG1_AZOBR	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	168	20	3.11443E-116	80.96	4	F:GO:0003848; P:GO:0009396; F:GO:0016301; P:GO:0016310	F:2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity; P:folic acid-containing compound biosynthetic process; F:kinase activity; P:phosphorylation	EC:2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0E9Y0|A0A0P0E9Y0_AZOBR	CYSK_STAESRecName: Full=Cysteine synthase; Short=CSase; AltName: Full=O-acetylserine (thiol)-lyase; Short=OAS-TL; AltName: Full=O-acetylserine sulfhydrylase	334	20	2.05161E-67	55.71	13	F:GO:0004122; F:GO:0004124; C:GO:0005618; C:GO:0005737; P:GO:0006535; F:GO:0008134; P:GO:0008284; P:GO:0009087; C:GO:0032993; F:GO:0042803; P:GO:0051289; P:GO:0051291; P:GO:1904798	F:cystathionine beta-synthase activity; F:cysteine synthase activity; C:cell wall; C:cytoplasm; P:cysteine biosynthetic process from serine; F:transcription factor binding; P:positive regulation of cell population proliferation; P:methionine catabolic process; C:protein-DNA complex; F:protein homodimerization activity; P:protein homotetramerization; P:protein heterooligomerization; P:positive regulation of core promoter binding	EC:4.2.1.22; EC:2.5.1.47	Cystathionine beta-synthase; Cysteine synthase			
true	[NO-BLAST]	tr|A0A0P0EM70|A0A0P0EM70_AZOBR	---NA---	495											
true	[BLASTED, MAPPED]	tr|A0A0P0FE14|A0A0P0FE14_AZOBR	CHEW_ENTAKRecName: Full=Chemotaxis protein CheW	520	1	1.22845E-4	62.22	3	C:GO:0005737; P:GO:0006935; P:GO:0007165	C:cytoplasm; P:chemotaxis; P:signal transduction					
true	[BLASTED]	tr|A0A0P0EKY5|A0A0P0EKY5_AZOBR	cupin domain-containing protein	131	20	1.00683E-89	92.28								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EV64|A0A0P0EV64_AZOBR	YHBW_ECOL6RecName: Full=Luciferase-like monooxygenase	339	9	4.40929E-137	57.38	2	C:GO:0005829; F:GO:0016705	C:cytosol; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EX19|A0A0P0EX19_AZOBR	KGUA_MAGSARecName: Full=Guanylate kinase; AltName: Full=GMP kinase	215	20	1.72299E-95	74.34	5	F:GO:0000166; F:GO:0004385; C:GO:0005829; P:GO:0009150; P:GO:1901068	F:nucleotide binding; F:guanylate kinase activity; C:cytosol; P:purine ribonucleotide metabolic process; P:guanosine-containing compound metabolic process	EC:2.7.4.4; EC:2.7.4.8	Nucleoside-phosphate kinase; Guanylate kinase			
true	[NO-BLAST]	tr|A0A0P0FEZ4|A0A0P0FEZ4_AZOBR	---NA---	151											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0E942|A0A0P0E942_AZOBR	NifU family protein	184	20	2.10402E-132	93.16	3	F:GO:0005506; P:GO:0016226; F:GO:0051536	F:iron ion binding; P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERU5|A0A0P0ERU5_AZOBR	deoxyguanosinetriphosphate triphosphohydrolase	399	20	0.0	92.55	1	F:GO:0016793	F:triphosphoric monoester hydrolase activity					
true	[NO-BLAST]	tr|A0A0N7I858|A0A0N7I858_AZOBR	---NA---	128											
true	[NO-BLAST]	tr|A0A0P0EHY7|A0A0P0EHY7_AZOBR	---NA---	106											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EKH8|A0A0P0EKH8_AZOBR	branched-chain amino acid aminotransferase	282	20	0.0	91.64	1	F:GO:0008483	F:transaminase activity					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EQ14|A0A0P0EQ14_AZOBR	UGPE_RHIMERecName: Full=sn-glycerol-3-phosphate transport system permease protein UgpE	276	20	1.07103E-114	70.04	6	P:GO:0001407; C:GO:0005887; P:GO:0008643; F:GO:0015169; P:GO:0015794; C:GO:0055052	P:glycerophosphodiester transmembrane transport; C:integral component of plasma membrane; P:carbohydrate transport; F:glycerol-3-phosphate transmembrane transporter activity; P:glycerol-3-phosphate transmembrane transport; C:ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing					
true	[NO-BLAST]	tr|A0A0P0EXQ7|A0A0P0EXQ7_AZOBR	---NA---	284											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6D3|A0A0P0F6D3_AZOBR	SOJ_BACHDRecName: Full=Sporulation initiation inhibitor protein Soj	344	18	9.01743E-35	47.51	2	F:GO:0005515; P:GO:0009987	F:protein binding; P:cellular process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FC81|A0A0P0FC81_AZOBR	aminopeptidase N	885	20	0.0	93.67	4	F:GO:0004177; P:GO:0006508; F:GO:0008237; F:GO:0008270	F:aminopeptidase activity; P:proteolysis; F:metallopeptidase activity; F:zinc ion binding	EC:3.4.11	Acting on peptide bonds (peptidases)			
true	[BLASTED, MAPPED]	tr|A0A0P0EKX5|A0A0P0EKX5_AZOBR	HZSB_KUESTRecName: Full=Hydrazine synthase subunit beta; Short=HZS-beta; Flags: Precursor	322	3	1.46634E-15	47.88	4	C:GO:0009279; P:GO:0009405; P:GO:0010756; C:GO:0016020	C:cell outer membrane; P:pathogenesis; P:positive regulation of plasminogen activation; C:membrane					
true	[NO-BLAST]	tr|A0A0P0EVR0|A0A0P0EVR0_AZOBR	---NA---	160											
true	[NO-BLAST]	tr|A0A0P0FHJ4|A0A0P0FHJ4_AZOBR	---NA---	391											
true	[NO-BLAST]	tr|A0A0N7I7U9|A0A0N7I7U9_AZOBR	---NA---	676											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERX7|A0A0P0ERX7_AZOBR	type I glyceraldehyde-3-phosphate dehydrogenase	340	20	0.0	97.48	5	P:GO:0006006; F:GO:0016620; F:GO:0050661; F:GO:0051287; P:GO:0055114	P:glucose metabolic process; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:NADP binding; F:NAD binding; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F220|A0A0P0F220_AZOBR	Y3691_BRUMERecName: Full=Putative binding protein BMEII0691; Flags: Precursor	608	20	0.0	44.51	3	P:GO:0006857; C:GO:0030288; P:GO:0042884	P:oligopeptide transport; C:outer membrane-bounded periplasmic space; P:microcin transport					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F860|A0A0P0F860_AZOBR	PY2CR_COLP3RecName: Full=Delta(1)-pyrroline-2-carboxylate reductase; Short=Pyr2C reductase; AltName: Full=Proline ketimine reductase	318	12	3.78921E-55	52.14	2	F:GO:0003824; P:GO:0008152	F:catalytic activity; P:metabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I864|A0A0N7I864_AZOBR	GTP cyclohydrolase II	368	20	0.0	89.0	4	F:GO:0003935; F:GO:0005525; F:GO:0008270; P:GO:0009231	F:GTP cyclohydrolase II activity; F:GTP binding; F:zinc ion binding; P:riboflavin biosynthetic process	EC:3.5.4.25	GTP cyclohydrolase II			
true	[BLASTED, MAPPED]	tr|A0A0P0EYP6|A0A0P0EYP6_AZOBR	Y381_RICFERecName: Full=Putative ankyrin repeat protein RF_0381	814	3	7.39633E-7	44.14	1	P:GO:0015969	P:guanosine tetraphosphate metabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F0T9|A0A0P0F0T9_AZOBR	2-octaprenyl-6-methoxyphenyl hydroxylase	416	20	0.0	93.82	4	P:GO:0006744; F:GO:0016709; P:GO:0055114; F:GO:0071949	P:ubiquinone biosynthetic process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; P:oxidation-reduction process; F:FAD binding	EC:1.14.13	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F3D1|A0A0P0F3D1_AZOBR	Y640_SYNY3RecName: Full=Uncharacterized transporter sll0640	593	3	2.03295E-72	51.52	1	C:GO:0016020	C:membrane					
true	[NO-BLAST]	tr|A0A0P0F5B8|A0A0P0F5B8_AZOBR	---NA---	4196											
true	[NO-BLAST]	tr|A0A0P0F7U7|A0A0P0F7U7_AZOBR	---NA---	280											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F4I5|A0A0P0F4I5_AZOBR	DAPE_CAMLRRecName: Full=Succinyl-diaminopimelate desuccinylase; Short=SDAP desuccinylase; AltName: Full=N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase	410	20	8.57545E-19	41.24	2	P:GO:0044238; P:GO:1901564	P:primary metabolic process; P:organonitrogen compound metabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EX55|A0A0P0EX55_AZOBR	FAD-binding protein	467	20	0.0	94.89	3	F:GO:0004458; P:GO:0055114; F:GO:0071949	F:D-lactate dehydrogenase (cytochrome) activity; P:oxidation-reduction process; F:FAD binding	EC:1.1.2.4	D-lactate dehydrogenase (cytochrome)			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F083|A0A0P0F083_AZOBR	PURE_BACSURecName: Full=N5-carboxyaminoimidazole ribonucleotide mutase; Short=N5-CAIR mutase; AltName: Full=5-(carboxyamino)imidazole ribonucleotide mutase	155	17	3.09501E-63	74.41	4	F:GO:0004638; C:GO:0005829; P:GO:0006189; F:GO:0034023	F:phosphoribosylaminoimidazole carboxylase activity; C:cytosol; P:'de novo' IMP biosynthetic process; F:5-(carboxyamino)imidazole ribonucleotide mutase activity	EC:5.4.99.18; EC:4.1.1.21	5-(carboxyamino)imidazole ribonucleotide mutase; Phosphoribosylaminoimidazole carboxylase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I8X4|A0A0N7I8X4_AZOBR	cyclic peptide export ABC transporter	550	20	0.0	79.95	6	F:GO:0005524; P:GO:0015833; C:GO:0016021; F:GO:0042626; P:GO:0055085; F:GO:1904680	F:ATP binding; P:peptide transport; C:integral component of membrane; F:ATPase-coupled transmembrane transporter activity; P:transmembrane transport; F:peptide transmembrane transporter activity	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F7P9|A0A0P0F7P9_AZOBR	acetoacetyl-CoA reductase	240	20	2.18204E-172	95.0	4	C:GO:0005737; F:GO:0018454; P:GO:0042619; P:GO:0055114	C:cytoplasm; F:acetoacetyl-CoA reductase activity; P:poly-hydroxybutyrate biosynthetic process; P:oxidation-reduction process	EC:1.1.1.36	Acetoacetyl-CoA reductase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F254|A0A0P0F254_AZOBR	YNR3_AZOBRRecName: Full=Uncharacterized 28.8 kDa protein in nifR3-like 5'region; AltName: Full=ORF5	271	1	1.582E-170	100.0	2	P:GO:0017004; F:GO:0020037	P:cytochrome complex assembly; F:heme binding					
true	[NO-BLAST]	tr|A0A0P0F4K9|A0A0P0F4K9_AZOBR	---NA---	197											
true	[BLASTED, MAPPED]	tr|A0A0P0FA34|A0A0P0FA34_AZOBR	YPOL_THETHRecName: Full=IMPACT family member in pol 5'region	196	4	1.61677E-17	57.53	1	F:GO:0005515	F:protein binding					
true	[NO-BLAST]	tr|A0A0N7I922|A0A0N7I922_AZOBR	---NA---	293											
true	[NO-BLAST]	tr|A0A0P0ECN7|A0A0P0ECN7_AZOBR	---NA---	86											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EHH1|A0A0P0EHH1_AZOBR	cyclic pyranopterin monophosphate synthase MoaC	164	20	8.59529E-115	97.04	2	P:GO:0006777; F:GO:0061799	P:Mo-molybdopterin cofactor biosynthetic process; F:cyclic pyranopterin monophosphate synthase activity	EC:4.6.1.17	Cyclic pyranopterin monophosphate synthase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EPU2|A0A0P0EPU2_AZOBR	imidazolonepropionase	404	20	0.0	84.25	6	F:GO:0005506; C:GO:0005737; F:GO:0008270; P:GO:0019556; P:GO:0019557; F:GO:0050480	F:iron ion binding; C:cytoplasm; F:zinc ion binding; P:histidine catabolic process to glutamate and formamide; P:histidine catabolic process to glutamate and formate; F:imidazolonepropionase activity	EC:3.5.2.7	Imidazolonepropionase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EA14|A0A0P0EA14_AZOBR	thioredoxin family protein	184	20	1.77352E-135	89.37	6	C:GO:0005623; F:GO:0016209; F:GO:0016491; P:GO:0045454; P:GO:0055114; P:GO:0098869	C:obsolete cell; F:antioxidant activity; F:oxidoreductase activity; P:cell redox homeostasis; P:oxidation-reduction process; P:cellular oxidant detoxification					
true	[NO-BLAST]	tr|A0A0P0EVX0|A0A0P0EVX0_AZOBR	---NA---	83											
true	[NO-BLAST]	tr|A0A0P0EXJ4|A0A0P0EXJ4_AZOBR	---NA---	288											
true	[NO-BLAST]	tr|A0A0P0F4F9|A0A0P0F4F9_AZOBR	---NA---	68											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FEZ7|A0A0P0FEZ7_AZOBR	SDR family oxidoreductase	258	20	0.0	92.35	4	F:GO:0004316; P:GO:0055114; F:GO:0102131; F:GO:0102132	F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; P:oxidation-reduction process; F:3-oxo-glutaryl-[acp] methyl ester reductase activity; F:3-oxo-pimeloyl-[acp] methyl ester reductase activity	EC:2.3.1.85; EC:1.1.1.100	Fatty-acid synthase; 3-oxoacyl-[acyl-carrier-protein] reductase			
true	[NO-BLAST]	tr|A0A0N7I7E5|A0A0N7I7E5_AZOBR	---NA---	325											
true	[NO-BLAST]	tr|A0A0P0FAT9|A0A0P0FAT9_AZOBR	---NA---	246											
true	[NO-BLAST]	tr|A0A0P0EZ92|A0A0P0EZ92_AZOBR	---NA---	81											
true	[NO-BLAST]	tr|A0A0P0EK62|A0A0P0EK62_AZOBR	---NA---	254											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EQH1|A0A0P0EQH1_AZOBR	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	216	20	2.33077E-145	88.3	1	F:GO:0008674	F:2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity	EC:4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase			
true	[NO-BLAST]	tr|A0A0P0EVW0|A0A0P0EVW0_AZOBR	---NA---	353											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F7U5|A0A0P0F7U5_AZOBR	ABC transporter ATP-binding protein	631	20	0.0	95.76	7	F:GO:0003677; F:GO:0004832; F:GO:0005524; C:GO:0005737; P:GO:0006438; F:GO:0016740; F:GO:0016887	F:DNA binding; F:valine-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:valyl-tRNA aminoacylation; F:transferase activity; F:ATPase activity	EC:3.6.1.3; EC:6.1.1.9; EC:3.6.1.15	Adenosinetriphosphatase; Valine--tRNA ligase; Nucleoside-triphosphate phosphatase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EBS7|A0A0P0EBS7_AZOBR	chloride channel protein	613	20	0.0	90.06	4	F:GO:0005247; C:GO:0005886; C:GO:0016021; P:GO:1902476	F:voltage-gated chloride channel activity; C:plasma membrane; C:integral component of membrane; P:chloride transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERA8|A0A0P0ERA8_AZOBR	LNRL_BACSURecName: Full=Linearmycin resistance ATP-binding protein LnrL	246	20	9.75829E-36	55.3	10	F:GO:0005515; P:GO:0006811; P:GO:0010165; P:GO:0015893; F:GO:0016787; F:GO:0022857; F:GO:0032555; F:GO:0035639; C:GO:0044459; P:GO:0055085	F:protein binding; P:ion transport; P:response to X-ray; P:drug transport; F:hydrolase activity; F:transmembrane transporter activity; F:purine ribonucleotide binding; F:purine ribonucleoside triphosphate binding; C:obsolete plasma membrane part; P:transmembrane transport					
true	[NO-BLAST]	tr|A0A0P0EYX3|A0A0P0EYX3_AZOBR	---NA---	210											
true	[NO-BLAST]	tr|A0A0P0F035|A0A0P0F035_AZOBR	---NA---	289											
true	[NO-BLAST]	tr|A0A0P0F4B2|A0A0P0F4B2_AZOBR	---NA---	261											
true	[NO-BLAST]	tr|A0A0P0FAK1|A0A0P0FAK1_AZOBR	---NA---	531											
true	[NO-BLAST]	tr|A0A0P0FCS2|A0A0P0FCS2_AZOBR	---NA---	248											
true	[NO-BLAST]	tr|A0A0P0EWC8|A0A0P0EWC8_AZOBR	---NA---	198											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F5H8|A0A0P0F5H8_AZOBR	EXBB_PSEPURecName: Full=Biopolymer transport protein ExbB	310	20	1.97175E-83	58.8	6	C:GO:0005887; P:GO:0015031; F:GO:0031992; F:GO:0042802; P:GO:0050821; C:GO:0098797	C:integral component of plasma membrane; P:protein transport; F:energy transducer activity; F:identical protein binding; P:protein stabilization; C:plasma membrane protein complex					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FCD0|A0A0P0FCD0_AZOBR	response regulator	134	20	3.26723E-90	83.35	2	P:GO:0000160; P:GO:0051301	P:phosphorelay signal transduction system; P:cell division					
true	[BLASTED, MAPPED]	tr|A0A0N7I7C4|A0A0N7I7C4_AZOBR	RLMI_AERHHRecName: Full=Ribosomal RNA large subunit methyltransferase I; AltName: Full=23S rRNA m5C1962 methyltransferase; AltName: Full=rRNA (cytosine-C(5)-)-methyltransferase RlmI	402	20	1.63472E-73	51.19	9	F:GO:0003723; C:GO:0005737; P:GO:0006364; F:GO:0008168; F:GO:0008649; F:GO:0016434; F:GO:0016740; P:GO:0031167; P:GO:0032259	F:RNA binding; C:cytoplasm; P:rRNA processing; F:methyltransferase activity; F:rRNA methyltransferase activity; F:rRNA (cytosine) methyltransferase activity; F:transferase activity; P:rRNA methylation; P:methylation					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EKI0|A0A0P0EKI0_AZOBR	MoxR family ATPase	323	20	0.0	87.18	2	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[NO-BLAST]	tr|A0A0P0F5F4|A0A0P0F5F4_AZOBR	---NA---	603											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FGD0|A0A0P0FGD0_AZOBR	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	884	20	0.0	95.52	6	F:GO:0004022; P:GO:0006066; F:GO:0008774; P:GO:0015976; F:GO:0046872; P:GO:0055114	F:alcohol dehydrogenase (NAD+) activity; P:alcohol metabolic process; F:acetaldehyde dehydrogenase (acetylating) activity; P:carbon utilization; F:metal ion binding; P:oxidation-reduction process	EC:1.2.1.10; EC:1.1.1.1	Acetaldehyde dehydrogenase (acetylating); Alcohol dehydrogenase			
true	[BLASTED, MAPPED]	tr|A0A0P0EZX6|A0A0P0EZX6_AZOBR	PRPE_BACLDRecName: Full=Bis(5'-nucleosyl)-tetraphosphatase PrpE	236	9	1.18038E-7	41.79	10	F:GO:0000166; F:GO:0004081; F:GO:0004721; F:GO:0005525; P:GO:0006470; F:GO:0008138; F:GO:0016151; F:GO:0016787; C:GO:0042763; F:GO:0046872	F:nucleotide binding; F:bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity; F:phosphoprotein phosphatase activity; F:GTP binding; P:protein dephosphorylation; F:protein tyrosine/serine/threonine phosphatase activity; F:nickel cation binding; F:hydrolase activity; C:intracellular immature spore; F:metal ion binding					
true	[NO-BLAST]	tr|A0A0P0FAH7|A0A0P0FAH7_AZOBR	---NA---	143											
true	[NO-BLAST]	tr|A0A0P0FDG0|A0A0P0FDG0_AZOBR	---NA---	209											
true	[NO-BLAST]	tr|A0A0N7I7F3|A0A0N7I7F3_AZOBR	---NA---	228											
true	[NO-BLAST]	tr|A0A0P0F4Z1|A0A0P0F4Z1_AZOBR	---NA---	141											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F842|A0A0P0F842_AZOBR	acetyl-CoA carboxylase carboxyltransferase subunit alpha	318	20	0.0	97.39	6	F:GO:0003989; F:GO:0005524; P:GO:0006633; C:GO:0009317; F:GO:0016743; P:GO:2001295	F:acetyl-CoA carboxylase activity; F:ATP binding; P:fatty acid biosynthetic process; C:acetyl-CoA carboxylase complex; F:carboxyl- or carbamoyltransferase activity; P:malonyl-CoA biosynthetic process	EC:6.4.1.2	Acetyl-CoA carboxylase			
true	[NO-BLAST]	tr|A0A0P0EM04|A0A0P0EM04_AZOBR	---NA---	145											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EU19|A0A0P0EU19_AZOBR	glutamate synthase large subunit	1515	20	0.0	98.15	6	F:GO:0004355; P:GO:0006541; F:GO:0046872; F:GO:0051538; P:GO:0055114; P:GO:0097054	F:glutamate synthase (NADPH) activity; P:glutamine metabolic process; F:metal ion binding; F:3 iron, 4 sulfur cluster binding; P:oxidation-reduction process; P:L-glutamate biosynthetic process	EC:1.4.1.13	Glutamate synthase (NADPH)			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EXV6|A0A0P0EXV6_AZOBR	anthranilate synthase	733	20	0.0	89.11	3	P:GO:0000162; F:GO:0004049; P:GO:0006541	P:tryptophan biosynthetic process; F:anthranilate synthase activity; P:glutamine metabolic process	EC:4.1.3.27	Anthranilate synthase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EZJ2|A0A0P0EZJ2_AZOBR	formate dehydrogenase subunit gamma	334	20	0.0	87.09	5	F:GO:0008863; F:GO:0009055; C:GO:0009326; C:GO:0016021; P:GO:0022904	F:formate dehydrogenase (NAD+) activity; F:electron transfer activity; C:formate dehydrogenase complex; C:integral component of membrane; P:respiratory electron transport chain	EC:1.2.1.2	Acting on the aldehyde or oxo group of donors			
true	[NO-BLAST]	tr|A0A0P0F6F5|A0A0P0F6F5_AZOBR	---NA---	226											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I7Y4|A0A0N7I7Y4_AZOBR	50S ribosomal protein L18	120	20	1.30487E-79	93.17	4	F:GO:0003735; C:GO:0005840; P:GO:0006412; F:GO:0019843	F:structural constituent of ribosome; C:ribosome; P:translation; F:rRNA binding					
