#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0389	DinP	2	1.966101	0.000453	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0390	COG0390	1	0.949218	0.000218	ABC-type uncharacterized transport system, permease component
COG0392	COG0392	3	2.580745	0.000594	Predicted integral membrane protein
COG0393	COG0393	2	1.388888	0.00032	Uncharacterized conserved protein
COG0394	Wzb	2	1.992805	0.000459	Protein-tyrosine-phosphatase
COG0395	UgpE	4	3.829181	0.000882	ABC-type sugar transport system, permease component
COG0396	sufC	1	0.960159	0.000221	Cysteine desulfurase activator ATPase
COG0398	COG0398	2	1.641255	0.000378	Uncharacterized conserved protein
COG0399	WecE	2	1.957219	0.000451	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
COG0402	SsnA	4	3.717339	0.000856	Cytosine deaminase and related metal-dependent hydrolases
COG0403	GcvP	1	0.973333	0.000224	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain
COG0404	GcvT	1	0.994722	0.000229	Glycine cleavage system T protein (aminomethyltransferase)
COG0405	Ggt	4	3.296846	0.000759	Gamma-glutamyltransferase
COG0406	phoE	5	4.26923	0.000983	Broad specificity phosphatase PhoE and related phosphatases
COG0407	HemE	1	0.980113	0.000225	Uroporphyrinogen-III decarboxylase
COG0408	HemF	1	0.920792	0.000212	Coproporphyrinogen III oxidase
COG0409	HypD	1	1	0.00023	Hydrogenase maturation factor
COG0410	LivF	16	15.877637	0.003659	ABC-type branched-chain amino acid transport systems, ATPase component
COG0411	LivG	15	14.9	0.003434	ABC-type branched-chain amino acid transport systems, ATPase component
COG0412	COG0412	5	4.563559	0.001051	Dienelactone hydrolase and related enzymes
COG0413	PanB	1	0.97388	0.000224	Ketopantoate hydroxymethyltransferase
COG0414	PanC	1	0.982456	0.000226	Panthothenate synthetase
COG0415	PhrB	1	1	0.00023	Deoxyribodipyrimidine photolyase
COG0416	PlsX	1	0.988165	0.000227	Fatty acid/phospholipid biosynthesis enzyme
COG0417	PolB	2	0.265151	6.1e-05	DNA polymerase elongation subunit (family B)
COG0418	PyrC	1	0.994186	0.000229	Dihydroorotase
COG0419	SbcC	1	1	0.00023	ATPase involved in DNA repair
COG0420	SbcD	1	1	0.00023	DNA repair exonuclease
COG0421	SpeE	2	1.66312	0.000383	Spermidine synthase
COG0422	ThiC	1	0.993055	0.000228	Thiamine biosynthesis protein ThiC
COG0424	Maf	2	1.854922	0.000427	Nucleotide-binding protein implicated in inhibition of septum formation
COG0425	SirA	3	2.833333	0.000653	Predicted redox protein, regulator of disulfide bond formation
COG0427	ACH1	1	0.996007	0.000229	Acetyl-CoA hydrolase
COG0431	COG0431	1	0.956521	0.00022	Predicted flavoprotein
COG0432	COG0432	1	1	0.00023	Uncharacterized conserved protein
COG0433	COG0433	2	1.7	0.000391	HerA helicase
COG0435	ECM4	1	1	0.00023	Predicted glutathione S-transferase
COG0436	COG0436	8	7.656488	0.001764	Aspartate/tyrosine/aromatic aminotransferase
COG0437	HybA	7	6.231527	0.001436	Fe-S-cluster-containing hydrogenase components 1
COG0438	RfaG	38	30.511811	0.007032	Glycosyltransferase
COG0439	AccC	2	1.703786	0.000392	Biotin carboxylase
COG0440	IlvH	1	0.957055	0.00022	Acetolactate synthase, small (regulatory) subunit
COG0441	ThrS	1	0.988115	0.000227	Threonyl-tRNA synthetase
COG0442	ProS	1	0.996	0.000229	Prolyl-tRNA synthetase
COG0443	DnaK	3	2.312607	0.000533	Molecular chaperone
COG0444	DppD	6	5.515822	0.001271	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG0445	GidA	1	0.996779	0.000229	Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
COG0446	HcaD	2	0.896385	0.000206	Uncharacterized NAD(FAD)-dependent dehydrogenases
COG0448	GlgC	1	0.977099	0.000225	ADP-glucose pyrophosphorylase
COG0449	GlmS	1	1	0.00023	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
COG0450	AhpC	1	0.963917	0.000222	Peroxiredoxin
COG0451	WcaG	18	17.550955	0.004045	Nucleoside-diphosphate-sugar epimerases
COG0452	Dfp	1	0.987244	0.000227	Phosphopantothenoylcysteine synthetase/decarboxylase
COG0454	WecD	2	1.794871	0.000413	Histone acetyltransferase HPA2 and related acetyltransferases
COG0455	flhG	1	0.912213	0.00021	Antiactivator of flagellar biosynthesis FleN, an ATPase
COG0456	RimI	14	9.327683	0.002149	Acetyltransferases
COG0457	NrfG	49	33.130584	0.007636	FOG: TPR repeat
COG0458	CarB	2	1.9375	0.000446	Carbamoylphosphate synthase large subunit (split gene in MJ)
COG0459	GroL	1	0.994274	0.000229	Chaperonin GroEL (HSP60 family)
COG0460	ThrA	1	0.984984	0.000227	Homoserine dehydrogenase
COG0461	PyrE	2	1.920398	0.000442	Orotate phosphoribosyltransferase
COG0462	PrsA	2	1.926751	0.000444	Phosphoribosylpyrophosphate synthetase
COG0463	WcaA	22	14.553264	0.003354	Glycosyltransferases involved in cell wall biogenesis
COG0464	SpoVK	1	0.321862	7.4e-05	ATPases of the AAA+ class
COG0465	HflB	2	1.937919	0.000446	ATP-dependent Zn proteases
COG0466	Lon	2	1.979539	0.000456	ATP-dependent Lon protease, bacterial type
COG0467	RAD55	2	1.853846	0.000427	RecA-superfamily ATPases implicated in signal transduction
COG0468	RecA	1	1	0.00023	RecA/RadA recombinase
COG0469	PykF	4	3.989517	0.000919	Pyruvate kinase
COG0471	CitT	1	0.88937	0.000204	Di- and tricarboxylate transporters
COG0472	Rfe	2	1.905956	0.000439	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase
COG0473	LeuB	2	1.997126	0.00046	Isocitrate/isopropylmalate dehydrogenase
COG0474	MgtA	1	0.969465	0.000223	Cation transport ATPase
COG0475	KefB	3	2.836272	0.000653	Kef-type K+ transport systems, membrane components
COG0476	ThiF	2	1.905511	0.000439	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
COG0479	FrdB	1	0.974358	0.000224	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
COG0480	FusA	3	2.965566	0.000683	Translation elongation factors (GTPases)
COG0481	LepA	1	0.996683	0.000229	Membrane GTPase LepA
COG0482	TrmU	1	0.997191	0.000229	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain
COG0483	SuhB	3	2.934615	0.000676	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family
COG0484	DnaJ	7	3.501347	0.000807	DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0486	ThdF	1	0.995594	0.000229	Predicted GTPase
COG0488	Uup	5	4.926415	0.001135	ATPase components of ABC transporters with duplicated ATPase domains
COG0489	Mrp	5	4.479245	0.001032	ATPases involved in chromosome partitioning
COG0491	GloB	7	6.115079	0.001409	Zn-dependent hydrolases, including glyoxylases
COG0492	TrxB	3	2.977049	0.000686	Thioredoxin reductase
COG0493	GltD	2	1.820568	0.000419	NADPH-dependent glutamate synthase beta chain and related oxidoreductases
COG0494	MutT	7	5.614906	0.001294	NTP pyrophosphohydrolases including oxidative damage repair enzymes
COG0495	LeuS	1	0.998771	0.00023	Leucyl-tRNA synthetase
COG0496	SurE	1	0.996031	0.000229	Predicted acid phosphatase
COG0497	RecN	2	1.116696	0.000257	ATPase involved in DNA repair
COG0498	ThrC	2	1.844282	0.000425	Threonine synthase
COG0499	SAM1	1	1	0.00023	S-adenosylhomocysteine hydrolase
COG0500	SmtA	6	4.443579	0.001024	SAM-dependent methyltransferases
COG0501	HtpX	2	1.701986	0.000392	Zn-dependent protease with chaperone function
COG0502	BioB	1	0.913432	0.00021	Biotin synthase and related enzymes
COG0503	Apt	2	1.865921	0.00043	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins
COG0504	PyrG	1	1	0.00023	CTP synthase (UTP-ammonia lyase)
COG0505	CarA	1	0.98913	0.000227	Carbamoylphosphate synthase small subunit
COG0506	PutA	1	1	0.00023	Proline dehydrogenase
COG0507	RecD	3	1.984195	0.000457	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member
COG0508	AceF	4	2.470297	0.000569	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes
COG0509	GcvH	1	0.91603	0.000211	Glycine cleavage system H protein (lipoate-binding)
COG0511	AccB	1	0.992857	0.000228	Biotin carboxyl carrier protein
COG0512	PabA	2	1.979057	0.000456	Anthranilate/para-aminobenzoate synthases component II
COG0513	SrmB	4	3.385964	0.00078	Superfamily II DNA and RNA helicases
COG0514	RecQ	2	1.6	0.000368	Superfamily II DNA helicase
COG0515	SPS1	3	1.757812	0.000405	Serine/threonine protein kinase
COG0516	GuaB	4	2.923529	0.000673	IMP dehydrogenase/GMP reductase
COG0517	COG0517	10	9.803418	0.002259	FOG: CBS domain
COG0518	GuaA	3	2.959595	0.000682	GMP synthase - Glutamine amidotransferase domain
COG0519	GuaA	1	1	0.00023	GMP synthase, PP-ATPase domain/subunit
COG0520	csdA	3	2.891358	0.000666	Selenocysteine lyase/Cysteine desulfurase
COG0521	MoaB	2	1.994082	0.000459	Molybdopterin biosynthesis enzymes
COG0522	RpsD	1	1	0.00023	Ribosomal protein S4 and related proteins
COG0523	COG0523	2	1.972136	0.000454	Putative GTPases (G3E family)
COG0524	RbsK	2	1.900321	0.000437	Sugar kinases, ribokinase family
COG0525	ValS	1	1	0.00023	Valyl-tRNA synthetase
COG0526	TrxA	3	2.732283	0.000629	Thiol-disulfide isomerase and thioredoxins
COG0527	LysC	1	1	0.00023	Aspartokinases
COG0528	PyrH	3	2.348739	0.000541	Uridylate kinase
COG0529	CysC	2	1.954314	0.00045	Adenylylsulfate kinase and related kinases
COG0531	PotE	2	1.87339	0.000431	Amino acid transporters
COG0532	InfB	1	0.99607	0.000229	Translation initiation factor 2 (IF-2; GTPase)
COG0533	QRI7	1	0.979532	0.000225	Metal-dependent proteases with possible chaperone activity
COG0534	NorM	1	0.953846	0.000219	Na+-driven multidrug efflux pump
COG0535	COG0535	5	4.233429	0.000975	Predicted Fe-S oxidoreductases
COG0536	Obg	1	0.926829	0.000213	Predicted GTPase
COG0537	Hit	3	2.717391	0.000626	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
COG0538	Icd	1	0.968058	0.000223	Isocitrate dehydrogenases
COG0539	RpsA	1	1	0.00023	Ribosomal protein S1
COG0540	PyrB	1	0.987341	0.000227	Aspartate carbamoyltransferase, catalytic chain
COG0541	Ffh	1	0.995565	0.000229	Signal recognition particle GTPase
COG0542	clpA	4	3.973282	0.000915	ATP-binding subunits of Clp protease and DnaK/DnaJ chaperones
COG0543	UbiB	1	0.769841	0.000177	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases
COG0544	Tig	1	1	0.00023	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
COG0546	Gph	6	5.672727	0.001307	Predicted phosphatases
COG0547	TrpD	2	1.911242	0.00044	Anthranilate phosphoribosyltransferase
COG0548	ArgB	1	1	0.00023	Acetylglutamate kinase
COG0549	ArcC	1	0.993589	0.000229	Carbamate kinase
COG0550	TopA	2	1.922807	0.000443	Topoisomerase IA
COG0552	FtsY	1	0.932352	0.000214	Signal recognition particle GTPase
COG0553	HepA	2	1.326789	0.000305	Superfamily II DNA/RNA helicases, SNF2 family
COG0554	GlpK	1	0.989979	0.000228	Glycerol kinase
COG0555	CysU	2	1.810218	0.000417	ABC-type sulfate transport system, permease component
COG0556	UvrB	1	0.998491	0.00023	Helicase subunit of the DNA excision repair complex
COG0557	VacB	1	0.991501	0.000228	Exoribonuclease R
COG0558	PgsA	2	1.817708	0.000418	Phosphatidylglycerophosphate synthase
COG0559	LivH	17	16.663299	0.00384	Branched-chain amino acid ABC-type transport system, permease components
COG0560	SerB	2	1.830188	0.000421	Phosphoserine phosphatase
COG0562	Glf	2	1.997326	0.00046	UDP-galactopyranose mutase
COG0563	Adk	2	1.977528	0.000455	Adenylate kinase and related kinases
COG0564	RluA	4	3.456747	0.000796	Pseudouridylate synthases, 23S RNA-specific
COG0565	LasT	1	0.987603	0.000227	rRNA methylase
COG0566	SpoU	5	4.315384	0.000994	rRNA methylases
COG0567	SucA	2	1.969094	0.000453	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
COG0568	RpoD	6	4.789473	0.001103	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
COG0569	TrkA	2	1.911111	0.00044	K+ transport systems, NAD-binding component
COG0571	Rnc	1	0.957446	0.00022	dsRNA-specific ribonuclease
COG0573	PstC	1	0.964516	0.000222	ABC-type phosphate transport system, permease component
COG0574	PpsA	2	1.622972	0.000374	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0575	CdsA	1	0.981132	0.000226	CDP-diglyceride synthetase
COG0576	GrpE	1	1	0.00023	Molecular chaperone GrpE (heat shock protein)
COG0578	GlpA	2	1.951127	0.000449	Glycerol-3-phosphate dehydrogenase
COG0579	COG0579	1	0.871794	0.0002	Predicted dehydrogenase
COG0580	GlpF	1	0.983402	0.000226	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)
COG0581	PstA	1	0.996575	0.000229	ABC-type phosphate transport system, permease component
COG0582	XerC	2	1.799352	0.000414	Integrase
COG0583	LysR	55	52.872053	0.012186	Transcriptional regulator
COG0584	UgpQ	1	0.961089	0.000221	Glycerophosphoryl diester phosphodiesterase
COG0586	DedA	4	3.240384	0.000746	Uncharacterized membrane-associated protein
COG0587	DnaE	2	1.93942	0.000447	DNA polymerase III, alpha subunit
COG0588	GpmA	1	0.991304	0.000228	Phosphoglycerate mutase 1
COG0589	UspA	7	5.032467	0.001159	Universal stress protein UspA and related nucleotide-binding proteins
COG0590	CumB	2	1.927631	0.000444	Cytosine/adenosine deaminases
COG0591	PutP	1	0.97363	0.000224	Na+/proline symporter
COG0592	DnaN	1	1	0.00023	DNA polymerase sliding clamp subunit (PCNA homolog)
COG0593	DnaA	2	1.607843	0.00037	ATPase involved in DNA replication initiation
COG0595	COG0595	2	1.74054	0.000401	mRNA degradation ribonucleases J1/J2 (metallo-beta-lactamase superfamily)
COG0596	MhpC	24	21.418439	0.004936	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
COG0597	LspA	1	0.898203	0.000207	Lipoprotein signal peptidase
COG0598	CorA	2	1.909937	0.00044	Mg2+ and Co2+ transporters
COG0599	COG0599	3	2.564516	0.000591	Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit
COG0600	TauC	12	11.476744	0.002645	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0601	DppB	11	10.782334	0.002485	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
COG0603	COG0603	1	0.968468	0.000223	Predicted PP-loop superfamily ATPase
COG0604	Qor	5	4.720858	0.001088	NADPH:quinone reductase and related Zn-dependent oxidoreductases
COG0605	SodA	2	1.965686	0.000453	Superoxide dismutase
COG0606	COG0606	1	0.228571	5.2e-05	Predicted ATPase with chaperone activity
COG0607	PspE	4	3.372727	0.000777	Rhodanese-related sulfurtransferase
COG0608	RecJ	1	0.971486	0.000223	Single-stranded DNA-specific exonuclease
COG0609	FepD	5	4.54491	0.001047	ABC-type Fe3+-siderophore transport system, permease component
COG0610	COG0610	1	0.93555	0.000215	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases
COG0611	ThiL	1	1	0.00023	Thiamine monophosphate kinase
COG0612	PqqL	4	3.844748	0.000886	Predicted Zn-dependent peptidases
COG0614	FepB	4	3.630094	0.000836	ABC-type Fe3+-hydroxamate transport system, periplasmic component
COG0616	SppA	3	2.293375	0.000528	Periplasmic serine proteases (ClpP class)
COG0617	PcnB	1	0.978155	0.000225	tRNA nucleotidyltransferase/poly(A) polymerase
COG0618	COG0618	1	0.933734	0.000215	Exopolyphosphatase-related proteins
COG0621	MiaB	3	2.940503	0.000677	2-methylthioadenine synthetase
COG0622	COG0622	1	0.924418	0.000213	Predicted phosphoesterase
COG0623	FabI	2	1.961389	0.000452	Enoyl-[acyl-carrier-protein].
COG0624	ArgE	10	9.726161	0.002241	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
COG0625	Gst	10	9.554502	0.002202	Glutathione S-transferase
COG0626	MetC	3	2.974747	0.000685	Cystathionine beta-lyases/cystathionine gamma-synthases
COG0627	COG0627	1	0.95886	0.000221	Predicted esterase
COG0628	yhhT	6	5.687323	0.00131	Predicted permease, member of the PurR regulon
COG0629	Ssb	1	0.532934	0.000122	Single-stranded DNA-binding protein
COG0631	PTC1	1	0.977099	0.000225	Serine/threonine protein phosphatase
COG0632	RuvA	1	1	0.00023	Holliday junction resolvasome, DNA-binding subunit
COG0633	Fdx	3	2.568627	0.000592	Ferredoxin
COG0635	HemN	2	1.884615	0.000434	Coproporphyrinogen III oxidase and related Fe-S oxidoreductases
COG0636	AtpE	1	0.898734	0.000207	F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0637	COG0637	2	1.954751	0.00045	Predicted phosphatase/phosphohexomutase
COG0640	ArsR	5	4.081818	0.00094	Predicted transcriptional regulators
COG0641	AslB	1	0.962962	0.000221	Arylsulfatase regulator (Fe-S oxidoreductase)
COG0642	BaeS	87	70.586309	0.016268	Signal transduction histidine kinase
COG0643	CheA	5	4.069832	0.000938	Chemotaxis protein histidine kinase and related kinases
COG0644	FixC	3	2.989898	0.000689	Dehydrogenases (flavoproteins)
COG0645	COG0645	1	0.87647	0.000202	Predicted kinase
COG0646	MetH	1	0.96463	0.000222	Methionine synthase I (cobalamin-dependent), methyltransferase domain
COG0647	NagD	1	0.888475	0.000204	Predicted sugar phosphatases of the HAD superfamily
COG0649	NuoD	1	0.979899	0.000225	NADH:ubiquinone oxidoreductase 49 kD subunit 7
COG0650	HyfC	1	0.92233	0.000212	Formate hydrogenlyase subunit 4
COG0651	HyfB	3	2.878968	0.000663	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
COG0652	PpiB	1	1	0.00023	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
COG0653	SecA	1	1	0.00023	Preprotein translocase subunit SecA (ATPase, RNA helicase)
COG0654	UbiH	2	1.925064	0.000443	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG0655	WrbA	3	2.507246	0.000577	Multimeric flavodoxin WrbA
COG0656	ARA1	2	1.946428	0.000448	Aldo/keto reductases, related to diketogulonate reductase
COG0657	Aes	3	2.352564	0.000542	Esterase/lipase
COG0658	ComEC	1	0.569536	0.000131	Predicted membrane metal-binding protein
COG0661	AarF	2	1.849129	0.000426	Predicted unusual protein kinase
COG0662	{ManC	3	1.984251	0.000457	Mannose-6-phosphate isomerase
COG0663	PaaY	3	2.363636	0.000544	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily
COG0664	Crp	19	16.200934	0.003734	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
COG0665	DadA	9	8.68217	0.002001	Glycine/D-amino acid oxidases (deaminating)
COG0666	Arp	3	1.893617	0.000436	FOG: Ankyrin repeat
COG0667	Tas	5	4.88924	0.001126	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
COG0668	MscS	5	4.35443	0.001003	Small-conductance mechanosensitive channel
COG0669	CoaD	1	0.987421	0.000227	Phosphopantetheine adenylyltransferase
COG0670	COG0670	2	1.914163	0.000441	Integral membrane protein, interacts with FtsH
COG0671	PgpB	2	1.219827	0.000281	Membrane-associated phospholipid phosphatase
COG0672	FTR1	1	0.859007	0.000197	High-affinity Fe2+/Pb2+ permease
COG0673	MviM	5	4.909356	0.001131	Predicted dehydrogenases and related proteins
COG0674	PorA	1	0.887671	0.000204	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit
COG0677	WecC	3	2.908256	0.00067	UDP-N-acetyl-D-mannosaminuronate dehydrogenase
COG0678	AHP1	2	1.981818	0.000456	Peroxiredoxin
COG0679	COG0679	4	3.89389	0.000897	Predicted permeases
COG0680	HyaD	1	0.99375	0.000229	Ni,Fe-hydrogenase maturation factor
COG0681	LepB	1	0.963855	0.000222	Signal peptidase I
COG0682	Lgt	1	0.947735	0.000218	Prolipoprotein diacylglyceryltransferase
COG0683	LivK	22	21.150273	0.004874	ABC-type branched-chain amino acid transport systems, periplasmic component
COG0684	MenG	3	2.623809	0.000604	Demethylmenaquinone methyltransferase
COG0685	MetF	1	0.962199	0.000221	5,10-methylenetetrahydrofolate reductase
COG0686	Ald	1	0.997304	0.000229	Alanine dehydrogenase
COG0687	PotD	7	6.749311	0.001555	Spermidine/putrescine-binding periplasmic protein
COG0688	Psd	1	0.92887	0.000214	Phosphatidylserine decarboxylase
COG0689	Rph	1	0.969565	0.000223	RNase PH
COG0690	SecE	1	0.739726	0.00017	Preprotein translocase subunit SecE
COG0691	SmpB	1	0.93464	0.000215	tmRNA-binding protein
COG0693	ThiJ	2	1.952127	0.000449	Putative intracellular protease/amidase
COG0694	COG0694	2	1.709677	0.000394	Thioredoxin-like proteins and domains
COG0695	GrxC	1	1	0.00023	Glutaredoxin and related proteins
COG0696	GpmI	1	0.994106	0.000229	Phosphoglyceromutase
COG0697	RhaT	27	25.667808	0.005915	Permeases of the drug/metabolite transporter (DMT) superfamily
COG0698	RpiB	1	0.927152	0.000213	Ribose 5-phosphate isomerase RpiB
COG0702	COG0702	3	2.912727	0.000671	Predicted nucleoside-diphosphate-sugar epimerases
COG0703	AroK	1	0.976744	0.000225	Shikimate kinase
COG0704	PhoU	3	2.754166	0.000634	Phosphate uptake regulator
COG0705	COG0705	2	1.719298	0.000396	Membrane associated serine protease
COG0706	YidC	1	0.93949	0.000216	Preprotein translocase subunit YidC
COG0707	MurG	1	0.913165	0.00021	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
COG0708	XthA	2	2	0.00046	Exonuclease III
COG0711	AtpF	2	1.788819	0.000412	F0F1-type ATP synthase, subunit b
COG0712	AtpH	1	0.977528	0.000225	F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)
COG0713	NuoK	1	0.99	0.000228	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
COG0714	COG0714	6	5.069908	0.001168	MoxR-like ATPases
COG0715	TauA	12	10.907462	0.002513	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components
COG0717	Dcd	1	1	0.00023	Deoxycytidine deaminase
COG0718	COG0718	1	0.971428	0.000223	Uncharacterized protein conserved in bacteria
COG0719	SufB	2	1.953883	0.00045	Cysteine desulfurase activator SufB
COG0721	GatC	1	0.989583	0.000228	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
COG0723	QcrA	2	1.570621	0.000362	Rieske Fe-S protein
COG0725	ModA	3	2.782945	0.000641	ABC-type molybdate transport system, periplasmic component
COG0726	CDA1	6	3.88764	0.000896	Predicted xylanase/chitin deacetylase
COG0727	COG0727	1	0.575757	0.000132	Predicted Fe-S-cluster oxidoreductase
COG0728	MviN	2	1.944015	0.000448	Uncharacterized membrane protein, putative virulence factor
COG0729	COG0729	1	0.946127	0.000218	Outer membrane protein
COG0730	COG0730	8	7.352713	0.001694	Predicted permeases
COG0732	HsdS	2	1.14578	0.000264	Restriction endonuclease S subunits
COG0735	Fur	5	4.57931	0.001055	Fe2+/Zn2+ uptake regulation proteins
COG0736	AcpS	1	1	0.00023	Phosphopantetheinyl transferase (holo-ACP synthase)
COG0737	UshA	3	2.69439	0.000621	5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases
COG0739	NlpD	3	2.328519	0.000536	Membrane proteins related to metalloendopeptidases
COG0740	ClpP	3	2.23	0.000513	Protease subunit of ATP-dependent Clp proteases
COG0741	MltE	7	3.793918	0.000874	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)
COG0742	COG0742	1	0.989304	0.000228	N6-adenine-specific methylase
COG0743	Dxr	1	1	0.00023	1-deoxy-D-xylulose 5-phosphate reductoisomerase
COG0744	MrcB	5	3.358547	0.000774	Membrane carboxypeptidase (penicillin-binding protein)
COG0745	OmpR	28	22.283842	0.005136	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
COG0746	MobA	1	0.989583	0.000228	Molybdopterin-guanine dinucleotide biosynthesis protein A
COG0747	DdpA	13	11.363309	0.002619	ABC-type dipeptide transport system, periplasmic component
COG0748	HugZ	1	0.865306	0.000199	Putative heme iron utilization protein
COG0749	PolA	1	0.996627	0.000229	DNA polymerase I - 3'-5' exonuclease and polymerase domains
COG0750	COG0750	2	1.117333	0.000257	Predicted membrane-associated Zn-dependent proteases 1
COG0751	GlyS	1	0.994211	0.000229	Glycyl-tRNA synthetase, beta subunit
COG0752	GlyQ	1	0.936241	0.000215	Glycyl-tRNA synthetase, alpha subunit
COG0753	KatE	2	1.945564	0.000448	Catalase
COG0754	Gsp	1	1	0.00023	Glutathionylspermidine synthase
COG0755	CcmC	1	0.818505	0.000188	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG0756	Dut	1	0.939189	0.000216	dUTPase
COG0757	AroQ	1	0.910958	0.000209	3-dehydroquinate dehydratase II
COG0758	Smf	1	1	0.00023	Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake
COG0760	SurA	3	2.721875	0.000627	Parvulin-like peptidyl-prolyl isomerase
COG0761	lytB	1	0.993197	0.000228	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH
COG0762	COG0762	1	0.875	0.000201	Predicted integral membrane protein
COG0763	LpxB	1	0.997375	0.000229	Lipid A disaccharide synthetase
COG0764	FabA	2	1.632653	0.000376	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases
COG0765	HisM	6	5.738738	0.001322	ABC-type amino acid transport system, permease component
COG0766	MurA	1	1	0.00023	UDP-N-acetylglucosamine enolpyruvyl transferase
COG0767	Ttg2B	2	1.928838	0.000444	ABC-type transport system involved in resistance to organic solvents, permease component
COG0768	FtsI	2	1.96828	0.000453	Cell division protein FtsI/penicillin-binding protein 2
COG0769	MurE	1	0.983157	0.000226	UDP-N-acetylmuramyl tripeptide synthase
COG0770	MurF	1	0.995565	0.000229	UDP-N-acetylmuramyl pentapeptide synthase
COG0771	MurD	1	1	0.00023	UDP-N-acetylmuramoylalanine-D-glutamate ligase
COG0772	FtsW	2	1.921259	0.000442	Bacterial cell division membrane protein
COG0773	MurC	1	0.995642	0.000229	UDP-N-acetylmuramate-alanine ligase
COG0774	LpxC	1	0.936666	0.000215	UDP-3-O-acyl-N-acetylglucosamine deacetylase
COG0775	Pfs	2	1.542735	0.000355	Nucleoside phosphorylase
COG0776	HimA	5	4.787234	0.001103	Bacterial nucleoid DNA-binding protein
COG0777	AccD	1	0.959183	0.000221	Acetyl-CoA carboxylase beta subunit
COG0778	NfnB	2	1.975845	0.000455	Nitroreductase
COG0779	COG0779	1	0.947712	0.000218	Uncharacterized protein conserved in bacteria
COG0780	COG0780	2	1.624161	0.000374	Enzyme related to GTP cyclohydrolase I
COG0781	NusB	2	1.470198	0.000338	Transcription termination factor
COG0782	COG0782	4	3.10596	0.000715	Uncharacterized conserved protein, YhbC family
COG0783	Dps	1	0.993589	0.000229	DNA-binding ferritin-like protein (oxidative damage protectant)
COG0784	CheY	72	66.838461	0.015405	FOG: CheY-like receiver
COG0787	Alr	2	1.977777	0.000455	Alanine racemase
COG0788	PurU	1	0.996515	0.000229	Formyltetrahydrofolate hydrolase
